Date,AAPL,ABBV,ABT,ACN,ADBE,AIG,AMD,AMGN,AMT,AMZN,AVGO,AXP,BA,BAC,BK,BKNG,BLK,BMY,BRK-B,C,CAT,CHTR,CL,CMCSA,COF,COP,COST,CRM,CSCO,CVS,CVX,DHR,DIS,DOW,DUK,EMR,EXC,F,FDX,GD,GE,GILD,GM,GOOG,GOOGL,GS,HD,HON,IBM,INTC,JNJ,JPM,KHC,KO,LIN,LLY,LMT,LOW,MA,MCD,MDLZ,MDT,MET,META,MMM,MO,MRK,MS,MSFT,NEE,NFLX,NKE,NVDA,ORCL,PEP,PFE,PG,PM,PYPL,QCOM,RTX,SBUX,SCHW,SO,SPG,T,TGT,TMO,TMUS,TSLA,TXN,UNH,UNP,UPS,USB,V,VZ,WBA,WFC,WMT,XOM
2018-01-01 00:00:00-05:00,39.802284240722656,88.96847534179688,57.2529182434082,149.50930786132812,199.75999450683594,55.81253433227539,13.739999771118164,161.60110473632812,134.13893127441406,72.54450225830078,207.0113525390625,92.57020568847656,337.7120666503906,28.855497360229492,49.56657028198242,1912.050048828125,497.81146240234375,53.74571990966797,214.3800048828125,66.94326782226562,143.84567260742188,377.25,65.90068817138672,38.20165252685547,95.35002899169922,50.54206466674805,181.91464233398438,113.91000366210938,35.703880310058594,68.3744125366211,101.4478759765625,99.15404510498047,105.68211364746094,48.44543380737305,64.38579559326172,63.27799606323242,23.446306228637695,9.187955856323242,245.7181854248047,197.7215118408203,119.0910415649414,69.51017761230469,38.539817810058594,58.49700164794922,59.111000061035156,243.66236877441406,179.60830688476562,138.33668518066406,123.14559936523438,41.91046905517578,121.85783386230469,100.06266784667969,62.756404876708984,40.88034439086914,148.62242126464844,74.22931671142578,312.9220886230469,95.89138793945312,164.486083984375,152.904052734375,39.94816207885742,77.38623809814453,40.06122589111328,186.88999938964844,214.1006317138672,50.243858337402344,48.70833969116211,49.24419403076172,89.72447204589844,35.60103225708008,270.29998779296875,65.12908935546875,60.84557342529297,47.49066162109375,104.62451171875,29.29654312133789,75.35108184814453,82.12673950195312,85.31999969482422,59.71171569824219,77.49272155761719,51.310386657714844,49.99613952636719,36.60026168823242,126.5133056640625,18.726577758789062,67.21265411376953,221.5028533935547,65.0999984741211,23.62066650390625,95.97297668457031,220.7504425048828,120.85521697998047,109.2408447265625,48.62506866455078,120.21733856201172,43.03516387939453,63.55934143066406,56.939697265625,97.65179443359375,67.66483306884766
2018-02-01 00:00:00-05:00,42.34355926513672,92.48922729492188,55.8331184387207,149.79776000976562,209.1300048828125,50.06713104248047,12.109999656677246,159.6207275390625,126.53742218017578,75.62249755859375,205.7010040283203,91.13043212890625,345.18359375,28.945676803588867,50.062984466552734,2034.0400390625,486.85052490234375,57.20947265625,207.1999969482422,64.3927993774414,137.2779083251953,341.92999267578125,61.540306091308594,32.65367889404297,89.81941986083984,46.67470932006836,178.2085723876953,116.25,38.77576446533203,59.21693420410156,90.57874298095703,95.72752380371094,100.32361602783203,48.44543380737305,61.793949127197266,62.25300598144531,22.551319122314453,9.105277061462402,230.67437744140625,198.49447631835938,103.91929626464844,65.30474090576172,35.75905990600586,55.23649978637695,55.19599914550781,239.1509246826172,162.95269775390625,130.9203643798828,117.2253189086914,42.911659240722656,114.52998352050781,100.43608093261719,53.677978515625,37.1264762878418,137.81785583496094,70.19205474853516,310.796875,82.34429931640625,171.3348388671875,140.93190002441406,39.498294830322266,71.98029327392578,38.49445724487305,178.32000732421875,201.2887725830078,44.965187072753906,44.57326126098633,48.995872497558594,88.55345153808594,34.192012786865234,291.3800048828125,63.99299240112305,59.90492248535156,46.82540512084961,95.43180847167969,28.71915054321289,69.04877471923828,79.30825805664062,79.41000366210938,56.86832046508789,75.65660095214844,51.57230758666992,49.696189880371094,34.936981201171875,118.87773132324219,18.471216201782227,67.38243103027344,206.1534881591797,60.61000061035156,22.87066650390625,95.34258270263672,210.849365234375,117.9130630493164,89.58403778076172,46.259342193603516,118.968994140625,38.4297981262207,58.179691314697266,50.56016540527344,82.45439910888672,58.704864501953125
2018-03-01 00:00:00-05:00,40.04810333251953,75.5771713256836,55.453678131103516,142.8107147216797,216.0800018310547,47.517494201660156,10.050000190734863,149.19651794433594,131.99560546875,72.36699676513672,196.67877197265625,87.17719268798828,314.0097351074219,27.043012619018555,45.234893798828125,2080.389892578125,480.0186462402344,54.66010284423828,199.47999572753906,57.81092834472656,130.84152221679688,311.2200012207031,63.958370208740234,30.814029693603516,88.26878356933594,51.22880935668945,176.37350463867188,116.30000305175781,37.139183044433594,54.3907585144043,93.21326446533203,95.85479736328125,97.67839813232422,48.44543380737305,64.29914855957031,60.244808197021484,23.974205017089844,9.508622169494629,224.77670288085938,197.11135864257812,100.10099029541016,62.53425598144531,33.023746490478516,51.589500427246094,51.856998443603516,229.7251739501953,159.3498077392578,125.81063842773438,116.5562515258789,45.648223876953125,113.72804260253906,95.62731170654297,49.86729049682617,37.30686569213867,132.80215454101562,71.03580474853516,299.6746520996094,80.65312957763672,170.7499542236328,140.60069274902344,37.545875549316406,72.27762603759766,38.56319808959961,159.7899932861328,188.72854614257812,44.515174865722656,44.778785705566406,47.19416046142578,86.59741973876953,36.96703338623047,295.3500061035156,63.42973709106445,57.363643646240234,42.27871322631836,94.92738342285156,28.330629348754883,69.71710968017578,76.1297836303711,75.87000274658203,48.89414596557617,71.04052734375,52.56943130493164,49.040592193603516,36.7130126953125,121.03341674804688,18.140464782714844,62.55131149291992,204.0581817626953,61.040000915527344,17.742000579833984,91.4179916381836,199.5126190185547,122.34062194824219,90.55940246582031,42.97455596923828,115.95775604248047,38.49420166015625,55.61716079711914,45.63709259033203,81.50170135498047,58.42036437988281
2018-04-01 00:00:00-04:00,39.446590423583984,77.09432220458984,53.79710388183594,140.6708526611328,221.60000610351562,49.178409576416016,10.880000114440918,152.69712829589844,123.84011840820312,78.30650329589844,194.28475952148438,92.28933715820312,319.449462890625,27.081132888793945,47.8508415222168,2178.0,464.5553894042969,45.05029296875,193.72999572753906,58.470401763916016,128.1603546142578,271.2900085449219,58.203182220458984,28.307065963745117,83.47858428955078,56.594478607177734,184.544921875,120.98999786376953,38.35146713256836,61.05298614501953,102.2615737915039,98.37606811523438,97.57142639160156,48.44543380737305,66.53181457519531,58.577720642089844,24.385971069335938,9.645929336547852,231.89608764648438,179.6309814453125,104.48226928710938,60.33719253540039,33.726837158203125,50.86650085449219,50.92900085449219,217.38426208496094,166.15679931640625,125.95861053466797,110.12187194824219,45.24502182006836,112.2548599243164,94.592529296875,45.55802536010742,37.44554138183594,141.12945556640625,74.4328842163086,284.51934814453125,75.76337432861328,173.78167724609375,150.54470825195312,35.73162078857422,72.61383819580078,40.05900192260742,172.0,167.12347412109375,40.508155822753906,48.819156646728516,45.14756774902344,88.73223876953125,37.09831237792969,312.4599914550781,65.48886108398438,55.7065544128418,42.20478820800781,88.43596649169922,29.224693298339844,63.61423873901367,63.48065948486328,74.61000061035156,45.01155471801758,67.83912658691406,52.278839111328125,52.28993606567383,37.913211822509766,122.59386444091797,16.639362335205078,65.40725708007812,208.0673370361328,60.5099983215332,19.593332290649414,89.25333404541016,221.12583923339844,121.61257934570312,98.2083969116211,43.1918830871582,122.99549102783203,39.7258186340332,56.44966506958008,45.2452507019043,81.51763916015625,60.87901306152344
2018-05-01 00:00:00-04:00,44.60477828979492,79.8210220336914,57.217777252197266,146.17332458496094,249.27999877929688,46.359439849853516,13.729999542236328,157.1954345703125,126.32725524902344,81.48100280761719,213.46597290039062,92.21366119384766,337.2626647949219,26.284631729125977,48.27094268798828,2108.919921875,475.89532470703125,45.76441192626953,191.52999877929688,57.11720275878906,135.5421600341797,261.0400085449219,56.6236457824707,28.277978897094727,86.59220123291016,58.227516174316406,185.5558319091797,129.3300018310547,37.280609130859375,55.84640884399414,101.59951782226562,97.35621643066406,96.73506164550781,48.44543380737305,64.04186248779297,62.4852294921875,25.436872482299805,10.044953346252441,233.69725036621094,180.76510620117188,104.55652618408203,56.30244827270508,39.19804000854492,54.2495002746582,55.0,206.02842712402344,167.73023986816406,128.77069091796875,107.34905242919922,48.38290786743164,106.15802001953125,93.5252456665039,46.4468879699707,37.263553619384766,144.59010314941406,78.07785034179688,278.93255615234375,87.75251770019531,185.59719848632812,143.8644561767578,35.52355194091797,78.22322845458984,38.64723205566406,191.77999877929688,169.5651092529297,40.24104690551758,49.3664665222168,44.06416702270508,93.77986907958984,37.52833938598633,351.6000061035156,68.75423431396484,62.46615219116211,43.35387420654297,87.8314437866211,28.681869506835938,64.93951416015625,61.57624435424805,82.06999969482422,51.285465240478516,70.47589874267578,51.4615592956543,52.23358917236328,36.91031265258789,125.63638305664062,16.757349014282227,65.66851806640625,206.00991821289062,55.70000076293945,18.98200035095215,98.47520446777344,225.9057159423828,129.92149353027344,100.47541809082031,42.798065185546875,126.71791076660156,38.85628890991211,53.00069046020508,47.012908935546875,76.06224822998047,63.61171340942383
2018-06-01 00:00:00-04:00,44.355064392089844,74.74650573730469,56.71562576293945,153.54115295410156,243.80999755859375,46.56141662597656,14.989999771118164,162.79185485839844,131.6224365234375,84.98999786376953,205.4801788330078,91.9322280883789,322.91986083984375,25.619529724121094,47.5479736328125,2027.0899658203125,444.5479431152344,48.130035400390625,186.64999389648438,57.585418701171875,121.05196380615234,293.2099914550781,58.1673583984375,29.756267547607422,85.02471160888672,60.402591705322266,196.1790313720703,136.39999389648438,37.55994415283203,56.692176818847656,104.24165344238281,96.76783752441406,101.92823791503906,48.44543380737305,66.41285705566406,61.399742126464844,26.40465545654297,9.627501487731934,213.00296020507812,167.05377197265625,101.06635284423828,59.17605209350586,36.168678283691406,55.782501220703125,56.45949935913086,201.8965301513672,176.39979553222656,126.04660034179688,107.30408477783203,43.8223762512207,108.48309326171875,91.06935119628906,51.30268478393555,38.00881576538086,146.33895874023438,78.88433837890625,263.6281433105469,88.26974487304688,191.844970703125,140.87945556640625,37.08851623535156,77.57981872558594,36.986663818359375,194.32000732421875,170.2834014892578,40.99907684326172,50.33671569824219,41.65620803833008,93.96720123291016,37.80445861816406,391.42999267578125,76.29995727539062,58.715187072753906,40.885528564453125,96.26087951660156,29.24397087097168,69.27947998046875,62.5052375793457,83.2699966430664,50.038047790527344,70.99272155761719,44.592254638671875,48.070640563964844,38.60036087036133,135.15858459472656,16.648468017578125,69.1667709350586,204.8921661376953,59.75,22.863332748413086,97.59857940673828,229.4882354736328,129.5953369140625,92.64093780517578,42.82374572753906,128.60130310058594,41.0081787109375,51.29949188232422,48.63899612426758,79.4253921508789,65.43502044677734
2018-07-01 00:00:00-04:00,45.59626770019531,74.40766143798828,60.94673538208008,149.54281616210938,244.67999267578125,48.77069091796875,18.329999923706055,173.33950805664062,136.09454345703125,88.87200164794922,190.3248291015625,93.35810852050781,342.9296875,28.06424331665039,47.142417907714844,2028.719970703125,450.2886047363281,51.095767974853516,197.8699951171875,61.86215591430664,128.30601501464844,304.5799865722656,60.14186477661133,32.4498405456543,87.26365661621094,62.61498260498047,205.3130340576172,137.14999389648438,36.91400909423828,57.1414794921875,104.1097412109375,100.75653076171875,110.43766784667969,48.44543380737305,68.54598999023438,64.18820190429688,26.342670440673828,8.731717109680176,231.25772094726562,179.017578125,102.11321258544922,65.5391616821289,35.10453796386719,60.862998962402344,61.361000061035156,217.3291473388672,178.5878448486328,139.69691467285156,111.32124328613281,42.40305709838867,118.47850799560547,100.46471405029297,49.2038688659668,40.76918411254883,155.79647827148438,91.34607696533203,290.9967041015625,91.75175476074219,193.289794921875,142.5434112548828,39.45320510864258,81.76647186279297,38.802059173583984,172.5800018310547,183.78692626953125,42.88628387451172,55.04619216918945,44.43328857421875,101.08547973632812,38.17976760864258,337.45001220703125,73.8531723022461,60.68805694580078,44.24470138549805,101.68091583251953,32.18611145019531,71.78227996826172,67.7543716430664,82.13999938964844,57.14431381225586,77.07393646240234,47.82370376586914,48.03301239013672,40.509124755859375,139.939453125,16.575878143310547,73.31021881103516,232.16738891601562,60.0,19.875999450683594,98.5457763671875,237.6969757080078,137.10508728027344,104.55354309082031,45.65846252441406,132.76663208007812,42.09227752685547,57.795265197753906,50.26205825805664,82.7452392578125,64.47004699707031
2018-08-01 00:00:00-04:00,54.54347610473633,78.22383117675781,62.435020446777344,158.6845245361328,263.510009765625,46.968624114990234,25.170000076293945,176.2144775390625,136.9024200439453,100.635498046875,187.9733428955078,99.77507781982422,329.9266357421875,28.109683990478516,46.22093963623047,1951.550048828125,429.06201171875,53.04251480102539,208.72000122070312,61.302825927734375,124.64894104003906,310.3999938964844,59.9873161315918,33.742618560791016,91.67680358886719,63.96976089477539,218.8497314453125,152.67999267578125,42.02238082885742,66.78962707519531,97.67035675048828,101.69944763183594,109.8156967163086,48.44543380737305,68.22686004638672,68.14004516601562,27.09265899658203,8.360591888427734,229.4518280029297,174.17189025878906,96.94390106201172,63.77078628540039,33.38218688964844,60.90950012207031,61.59000015258789,217.677001953125,181.5263214111328,139.18063354492188,112.51179504394531,42.69397735595703,120.4185562133789,100.68553161621094,47.58687210083008,38.96809768676758,147.136962890625,97.66938781738281,285.919189453125,100.92182159423828,210.6968994140625,146.7869873046875,38.85295486450195,87.8778305053711,38.92930221557617,175.72999572753906,182.57505798339844,42.769344329833984,57.319236755371094,43.16659927368164,107.04122161865234,38.763153076171875,367.67999267578125,78.93292999267578,69.56598663330078,45.256683349609375,99.0372085571289,33.46774673461914,74.28756713867188,61.15163803100586,92.33000183105469,61.26362991333008,74.77999877929688,48.79132080078125,47.77901077270508,36.491554260253906,145.35562133789062,16.902721405029297,79.50724029541016,236.6913299560547,66.04000091552734,20.110666275024414,100.05277252197266,252.0027313232422,137.77284240722656,107.16106414794922,46.605918884277344,142.6217041015625,44.831329345703125,58.59868621826172,51.30606460571289,88.89338684082031,63.410179138183594
2018-09-01 00:00:00-04:00,54.28030014038086,77.08282470703125,68.52535247802734,159.74508666992188,269.95001220703125,47.03046798706055,30.889999389648438,184.05543518066406,133.39541625976562,100.1500015258789,211.7456817626953,100.25520324707031,359.7129821777344,26.77372169494629,45.192813873291016,1984.0,422.13885498046875,54.382808685302734,214.11000061035156,62.12220001220703,136.89393615722656,325.8800048828125,60.47509765625,32.301334381103516,88.19640350341797,67.42830657958984,221.0399169921875,159.02999877929688,42.79648971557617,69.87876892089844,101.78658294677734,106.72844696044922,114.63888549804688,48.44543380737305,67.97283935546875,68.45819091796875,27.278972625732422,8.157750129699707,226.47959899902344,184.3664093017578,84.5824203491211,65.01705169677734,31.17830467224121,59.673500061035156,60.354000091552734,205.93556213378906,188.2548828125,146.31491088867188,117.39973449707031,41.94253158569336,124.35306549072266,99.15652465820312,45.487342834472656,40.384483337402344,150.2557373046875,99.75222778320312,310.6492004394531,106.55488586425781,217.58786010742188,152.31021118164062,39.071224212646484,89.66437530517578,39.99708938598633,164.4600067138672,183.61585998535156,44.077571868896484,59.2830924987793,41.16871643066406,109.40458679199219,38.44363021850586,374.1300048828125,81.55314636230469,69.68833923339844,48.0328254699707,98.85153198242188,35.825687408447266,74.538330078125,64.01727294921875,87.83999633789062,64.22383117675781,79.80892181396484,52.2470703125,46.35557556152344,36.80644226074219,141.97122192382812,17.77061653137207,80.78244018554688,241.6211700439453,70.18000030517578,17.65133285522461,95.50409698486328,249.7310333251953,149.73562622070312,102.58602905273438,45.486202239990234,145.94775390625,44.02326583862305,62.70439529418945,46.449745178222656,87.59091186523438,67.93988037109375
2018-10-01 00:00:00-04:00,52.625972747802734,63.44784927368164,64.39663696289062,147.9378204345703,245.75999450683594,36.69717788696289,18.209999084472656,171.1807098388672,143.8336639404297,79.90049743652344,193.2410430908203,96.71534729003906,343.2313232421875,25.113256454467773,41.94892883300781,1874.5799560546875,370.908935546875,44.27363967895508,205.27999877929688,56.68413162231445,108.91185760498047,320.3699951171875,53.79075622558594,34.79165267944336,82.96574401855469,60.894561767578125,215.15817260742188,137.24000549316406,40.24541473388672,64.25971221923828,92.93810272216797,97.7767105102539,112.57040405273438,48.44543380737305,70.18990325927734,60.680885314941406,27.37269401550293,8.422327995300293,207.7936248779297,155.42189025878906,76.38837432861328,57.858917236328125,34.25103759765625,53.8385009765625,54.52899932861328,206.9733123779297,159.83718872070312,132.86009216308594,89.6200942993164,41.578887939453125,125.99105072021484,95.79973602294922,45.37179946899414,42.2181396484375,154.6868438720703,100.80265808105469,263.8579406738281,88.36576080322266,193.21055603027344,161.0596923828125,38.41089630126953,81.87103271484375,35.262847900390625,151.7899932861328,165.79539489746094,48.14167022705078,61.9340705871582,40.36425018310547,102.17279052734375,39.56758117675781,301.7799987792969,72.23497772216797,52.28237533569336,45.498905181884766,100.1862564086914,35.0046272277832,79.419189453125,70.12354278564453,84.19000244140625,56.58495330810547,70.90386199951172,53.5615234375,43.61102294921875,38.01362228393555,147.4091033935547,16.235925674438477,76.58806610107422,231.45750427246094,68.55000305175781,22.488000869750977,82.63255310058594,246.15628051757812,134.46136474609375,93.61470794677734,45.33397674560547,134.0455780029297,47.07413101196289,68.61357116699219,47.04185485839844,93.53227996826172,63.672645568847656
