Date,Close
2018-01-01 00:00:00-05:00,26149.390625
2018-02-01 00:00:00-05:00,25029.19921875
2018-03-01 00:00:00-05:00,24103.109375
2018-04-01 00:00:00-04:00,24163.150390625
2018-05-01 00:00:00-04:00,24415.83984375
2018-06-01 00:00:00-04:00,24271.41015625
2018-07-01 00:00:00-04:00,25415.189453125
2018-08-01 00:00:00-04:00,25964.8203125
2018-09-01 00:00:00-04:00,26458.310546875
2018-10-01 00:00:00-04:00,25115.759765625
2018-11-01 00:00:00-04:00,25538.4609375
2018-12-01 00:00:00-05:00,23327.4609375
2019-01-01 00:00:00-05:00,24999.669921875
2019-02-01 00:00:00-05:00,25916.0
2019-03-01 00:00:00-05:00,25928.6796875
2019-04-01 00:00:00-04:00,26592.91015625
2019-05-01 00:00:00-04:00,24815.0390625
2019-06-01 00:00:00-04:00,26599.9609375
2019-07-01 00:00:00-04:00,26864.26953125
2019-08-01 00:00:00-04:00,26403.279296875
2019-09-01 00:00:00-04:00,26916.830078125
2019-10-01 00:00:00-04:00,27046.23046875
2019-11-01 00:00:00-04:00,28051.41015625
2019-12-01 00:00:00-05:00,28538.439453125
2020-01-01 00:00:00-05:00,28256.029296875
2020-02-01 00:00:00-05:00,25409.359375
2020-03-01 00:00:00-05:00,21917.16015625
2020-04-01 00:00:00-04:00,24345.720703125
2020-05-01 00:00:00-04:00,25383.109375
2020-06-01 00:00:00-04:00,25812.880859375
2020-07-01 00:00:00-04:00,26428.3203125
2020-08-01 00:00:00-04:00,28430.05078125
2020-09-01 00:00:00-04:00,27781.69921875
2020-10-01 00:00:00-04:00,26501.599609375
2020-11-01 00:00:00-04:00,29638.640625
2020-12-01 00:00:00-05:00,30606.48046875
2021-01-01 00:00:00-05:00,29982.619140625
2021-02-01 00:00:00-05:00,30932.369140625
2021-03-01 00:00:00-05:00,32981.55078125
2021-04-01 00:00:00-04:00,33874.8515625
2021-05-01 00:00:00-04:00,34529.44921875
2021-06-01 00:00:00-04:00,34502.51171875
2021-07-01 00:00:00-04:00,34935.46875
2021-08-01 00:00:00-04:00,35360.73046875
2021-09-01 00:00:00-04:00,33843.921875
2021-10-01 00:00:00-04:00,35819.55859375
2021-11-01 00:00:00-04:00,34483.71875
2021-12-01 00:00:00-05:00,36338.30078125
2022-01-01 00:00:00-05:00,35131.859375
2022-02-01 00:00:00-05:00,33892.6015625
2022-03-01 00:00:00-05:00,34678.3515625
2022-04-01 00:00:00-04:00,32977.2109375
2022-05-01 00:00:00-04:00,32990.12109375
2022-06-01 00:00:00-04:00,30775.4296875
2022-07-01 00:00:00-04:00,32845.12890625
2022-08-01 00:00:00-04:00,31510.4296875
2022-09-01 00:00:00-04:00,28725.509765625
2022-10-01 00:00:00-04:00,32732.94921875
2022-11-01 00:00:00-04:00,33715.37109375
2022-11-11 00:00:00-05:00,33477.19921875
