Date,MMM,AXP,AMGN,AAPL,BA,CAT,CVX,CSCO,KO,DIS,DOW,GS,HD,HON,IBM,INTC,JNJ,JPM,MCD,MRK,MSFT,NKE,PG,CRM,TRV,UNH,VZ,V,WBA,WMT
2017-01-03,150.21209716796875,69.32428741455078,128.34060668945312,27.219831466674805,145.53369140625,81.16825103759766,92.56682586669922,25.57866096496582,34.99178695678711,101.58435821533203,49.611246895956825,218.62754821777344,118.13711547851562,99.11260223388672,122.51849365234375,31.40519905090332,100.23136901855469,74.43675231933594,104.75935363769531,48.36428451538086,57.93052673339844,49.11188507080078,71.76016998291016,70.54000091552734,106.287353515625,148.74441528320312,42.12609100341797,76.5621109008789,69.515625,61.31160354614258
2017-01-04,150.43984985351562,70.46075439453125,130.16273498535156,27.189373016357422,147.06344604492188,80.8055648803711,92.54328155517578,25.426610946655273,34.86622619628906,102.88672637939453,49.611246895956825,220.03941345214844,119.183837890625,99.3856201171875,124.03545379638672,31.242168426513672,100.06697082519531,74.57402038574219,104.63674926757812,48.348209381103516,57.671321868896484,50.1417350769043,72.01583862304688,72.80000305175781,105.71591186523438,149.16824340820312,42.07978057861328,77.18807220458984,69.53237915039062,61.668785095214844
2017-01-05,149.9252471923828,69.59222412109375,130.2563934326172,27.327634811401367,147.14691162109375,80.31332397460938,92.1426773071289,25.48574447631836,34.9499397277832,102.82926177978516,49.611246895956825,218.40127563476562,117.7764892578125,99.60739135742188,123.62506103515625,31.190683364868164,101.11392211914062,73.8875732421875,104.82940673828125,48.33211898803711,57.671321868896484,50.13229751586914,72.49311065673828,72.79000091552734,104.02796173095703,149.41690063476562,42.17239761352539,78.09334564208984,69.57427215576172,61.80272674560547
2017-01-06,150.3639678955078,69.73082733154297,133.491943359375,27.63228988647461,147.5084991455078,80.34785461425781,91.77351379394531,25.536428451538086,34.941566467285156,104.36145782470703,49.611246895956825,221.64126586914062,117.45104217529297,101.11737060546875,124.23329162597656,31.30222511291504,100.62936401367188,73.89616394042969,105.75772094726562,48.46077346801758,58.17121505737305,50.93537902832031,72.4675521850586,73.80000305175781,103.9752197265625,149.6288604736328,41.54677963256836,79.17198181152344,69.6329345703125,60.954402923583984
2017-01-09,149.55404663085938,70.0911636352539,135.24595642089844,27.88538932800293,146.78530883789062,79.76925659179688,90.98805236816406,25.49418830871582,34.589962005615234,103.76771545410156,49.611246895956825,219.82220458984375,118.13711547851562,100.28134155273438,122.85562133789062,31.413774490356445,100.61207580566406,73.9476547241211,105.46873474121094,49.12814712524414,57.9860725402832,50.434635162353516,71.9306411743164,73.95999908447266,103.14002990722656,149.20504760742188,41.09432601928711,78.72897338867188,69.17206573486328,61.35624694824219
2017-01-10,148.971923828125,70.82110595703125,135.17787170410156,27.913511276245117,147.48065185546875,81.03009033203125,90.29683685302734,25.66313362121582,34.355567932128906,103.7868881225586,49.611246895956825,219.53257751464844,119.7115707397461,100.53726959228516,121.29473114013672,31.35371208190918,100.50825500488281,74.16214752197266,105.31108856201172,48.179351806640625,57.96755599975586,50.179534912109375,71.15505981445312,73.9800033569336,103.01696014404297,148.86416625976562,41.15673828125,78.30523681640625,69.27261352539062,60.92761993408203
2017-01-11,150.07711791992188,71.06134033203125,133.355712890625,28.06349754333496,147.78662109375,81.73825073242188,91.0587387084961,25.46884536743164,34.36394119262695,104.80196380615234,49.611246895956825,222.4196014404297,119.35974884033203,100.67377471923828,122.9288330078125,31.70551872253418,99.27093505859375,74.71988677978516,105.86282348632812,49.55428695678711,58.495208740234375,49.78269577026367,71.37664794921875,75.7699966430664,103.43013763427734,149.1497802734375,40.92271041870117,78.7771224975586,70.74739837646484,61.19552230834961
2017-01-12,149.69747924804688,71.03361511230469,132.28289794921875,27.946317672729492,146.7574920654297,81.16825103759766,91.23938751220703,25.375930786132812,34.280235290527344,102.972900390625,49.611246895956825,220.68197631835938,118.80558013916016,100.349609375,123.07547760009766,31.499582290649414,99.1757583618164,73.9991226196289,106.93125915527344,50.020660400390625,57.95830154418945,49.50870895385742,71.45337677001953,75.20999908447266,102.63893127441406,149.58282470703125,41.09432601928711,78.36300659179688,70.32005310058594,60.695457458496094
2017-01-13,149.65528869628906,70.79338073730469,132.92996215820312,27.897106170654297,147.25816345214844,81.5914077758789,91.41219329833984,25.40126609802246,34.22163009643555,103.48043823242188,49.611246895956825,221.0982666015625,118.77922058105469,100.72496032714844,122.62846374511719,31.5682373046875,99.15846252441406,74.39380645751953,106.40579986572266,50.125179290771484,58.04161071777344,50.000003814697266,71.59827423095703,75.63999938964844,102.90267181396484,149.06686401367188,40.99291229248047,78.17040252685547,70.23625183105469,59.94533920288086
2017-01-17,149.5456085205078,70.77490234375,131.8060760498047,28.12208366394043,146.1826629638672,80.8055648803711,91.33363342285156,25.333688735961914,34.50625991821289,103.3942642211914,49.611246895956825,213.35122680664062,119.56204986572266,100.00834655761719,123.0314712524414,31.576818466186523,99.39205169677734,71.69093322753906,107.50050354003906,49.433685302734375,57.88424301147461,50.68974685668945,72.62094116210938,75.0199966430664,103.26309967041016,148.01658630371094,41.141136169433594,78.257080078125,70.57142639160156,61.09727096557617
